avg_sales,avg_revenue,avg_price,avg_pct_ventas,cluster
4093.0,45020.66,31420.16,199.0,0
5059.0,26705.46,14458.28,47.93,1
1435.0,5652.23,10816.5,-48.71,1
39175.0,235405.22,16383.64,369.27,1
14621.0,55658.2,10514.78,502.05,1
13068.0,17354.05,3653.46,401.53,1
3014.0,31589.39,28772.29,-3.18,0
87645.0,55304.75,1735.49,1499.04,3
15657.0,35905.72,6281.67,993.68,1
11689.0,46238.16,10843.49,560.34,1
1500.0,6942.6,12681.82,-373.82,1
7326.0,62727.48,23573.86,376.83,1
4386.0,11491.76,7179.07,154.79,1
37267.0,50065.03,3643.85,534.63,1
84541.0,79399.56,2580.94,1180.79,3
59819.0,56183.26,2585.52,946.28,1
14580.0,37707.74,7073.07,745.42,1
1279.0,20208.71,43122.38,-266.69,0
53087.0,33073.75,1727.74,886.65,1
4483.0,71731.02,44344.13,90.88,0
6736.0,106189.25,43054.8,168.98,0
7357.0,69719.02,26019.68,390.95,0
20807.0,94844.62,12528.39,470.62,1
3802.0,44922.53,32452.34,-0.07,0
8106.0,41675.15,14136.06,492.47,1
3424.0,81799.54,65422.06,162.87,0
2033.0,54099.81,72794.86,-11.38,0
8171.0,82363.68,27955.64,442.04,0
18157.0,202031.1,30770.28,455.18,0
29655.0,28108.16,2659.03,993.16,1
6097.0,89026.37,40008.57,299.19,0
63473.0,47060.4,2037.51,1327.11,3
2511.0,53674.33,58358.44,-43.46,0
9036.0,58115.11,17481.93,388.48,1
3066.0,8198.08,7226.09,-241.19,1
10515.0,14710.66,3871.31,750.2,1
13999.0,239999.44,46982.16,164.14,0
5934.0,25297.44,11682.85,305.68,1
1715.0,13411.99,21425.38,-322.3,0
15700.0,269682.28,47004.16,257.84,0
6311.0,32753.83,14333.18,207.28,1
7421.0,74996.14,27747.76,437.16,0
50228.0,47227.8,2582.79,1087.83,1
11173.0,22012.16,5395.89,603.16,1
1038.0,14606.11,38555.64,-80.11,0
2207.0,55494.29,69098.76,112.5,0
14595.0,33444.55,6276.03,1034.28,1
75717.0,47365.38,1716.79,607.53,1
4343.0,46063.28,29200.95,52.4,0
8697.0,120221.43,37779.01,434.94,0
2584.0,20551.59,21792.32,-95.27,0
894.0,6990.11,21425.24,-310.15,0
3194.0,16857.99,14466.14,20.45,1
963.0,3798.65,10820.63,-258.0,1
20351.0,229199.98,30809.72,580.96,0
20090.0,25116.52,3425.55,466.39,1
9072.0,58306.88,17262.34,456.39,1
5097.0,56413.98,30649.17,114.41,0
3414.0,133219.27,108053.15,13.25,0
6910.0,25660.54,10182.84,428.99,1
1133.0,1461.68,3534.87,-253.83,1
4797.0,33871.92,19514.69,118.56,1
19765.0,338891.97,46960.8,419.01,0
1401.0,9093.05,17783.7,-387.73,0
2931.0,4871.79,4553.92,14.57,1
65475.0,48440.88,2013.65,1549.75,3
9748.0,90693.92,25418.58,458.45,0
3270.0,58676.94,49105.69,-17.51,0
1511.0,11815.29,21426.57,-384.23,0
10580.0,27720.66,7179.07,449.74,1
11272.0,80163.36,19480.66,700.11,1
26509.0,129391.52,13364.88,510.59,1
